dataset_source,species,breed,age_years,weight_kg,body_temp_c,symptoms,outcome_diagnosis
Classification,Dog,,,,,"Fever, Diarrhea, Vomiting, Weight loss, Dehydration",Dangerous: Yes
Classification,Dog,,,,,"Fever, Diarrhea, Coughing, Tiredness, Pains",Dangerous: Yes
Classification,Dog,,,,,"Fever, Diarrhea, Coughing, Vomiting, Anorexia",Dangerous: Yes
Classification,Dog,,,,,"Fever, Difficulty breathing, Coughing, Lethargy, Sneezing",Dangerous: Yes
Classification,Dog,,,,,"Fever, Diarrhea, Coughing, Lethargy, Blue Eye",Dangerous: Yes
Classification,Dog,,,,,"Fever, Respiratory distress, Seizuers, Hyperesthesia, Sudden death",Dangerous: Yes
Classification,Dog,,,,,"Ulcers, Diarrhea, Poor Appetite, Tarry Stool, Enlarged lymph nodes",Dangerous: Yes
Classification,Dog,,,,,"Facial Swelling, Bloody Drool, Foul Breath, Unable To Eat, Lossened Teeth",Dangerous: Yes
Classification,Dog,,,,,"Fever, Difficulty breathing, Thrist and urination, Weight loss, Enlarged lymph nodes or Swelling",Dangerous: Yes
Classification,Dog,,,,,"Swelling on leg, Painfull, Nasal Discharge, Broken Bones, Nasal Discharge",Dangerous: Yes
Classification,Dog,,,,,"Short term lethargy, Loss of  appetite, Weekness in the back legs, Rapid Heart Rate, Week pulse",Dangerous: Yes
Classification,Dog,,,,,"Swollen lymph nodes, Difficulty walking, Back Pain, Lethargy, Vaginal Discharge",Dangerous: Yes
Classification,Dog,,,,,"Fever, Diarrhea, Abdominal pain, Stiffness, Severe weekness and depression",Dangerous: Yes
Classification,Dog,,,,,"Fever, Loss of  appetite, Reduce Energy, Lameness, Swelling of joints",Dangerous: Yes
Classification,Dog,,,,,"Fever, Chronic eye inflamation, Poor Appetite, Lethargy, Neurologic abnormalities",Dangerous: Yes
Classification,Dog,,,,,"Fever, Swelling of face or leg, Poor Appetite, Depression, Pains",Dangerous: Yes
Classification,Dog,,,,,"Diarrhea with muscus, Tensemus, Watery Stool, Flatulence, Pains",Dangerous: Yes
Classification,Dog,,,,,"Strong cough, Runny nose, Sneezing, Lethargy, Loss of appettite",Dangerous: Yes
Classification,Dog,,,,,"Fever, Inflammed eye, Coughing, Depression, Limping",Dangerous: Yes
Classification,Dog,,,,,"Fever, Difficulty breathing, Coughing, Eye and Skin change, Unable to exercise",Dangerous: Yes
Classification,Dog,,,,,"Fever, Loss of  appetite, Coughing, Lethargy, Joint Pain",Dangerous: Yes
Classification,Dog,,,,,"Lesions in the nasal cavity, Lesions on nose, Nose Bleeds, Noisy Breathing, Lesions on nose",Dangerous: Yes
Classification,Dog,,,,,"Hair loss, Dandruff, Darkened skin, Crusting of the skin, Ulcerated skin",Dangerous: Yes
Classification,Dog,,,,,"Greenish-yellow nasal discharge, Lack of pigmentation, Sneezing, Lethargy, Pain on face",Dangerous: Yes
Classification,Dog,,,,,"Fever, Diarrhea, Poor Appetite, Weight loss, Vomitting",Dangerous: Yes
Classification,Dog,,,,,"Jaundice, Pneumonia , Lession on the skin, pain , Vomitting",Dangerous: Yes
Classification,Dog,,,,,"Poor coat apperence , Diarrhea, Vomiting, Weight loss, Dehydration",Dangerous: Yes
Classification,Dog,,,,,"Watering, No appp, Vomiting, Lethargy, Dehydration",Dangerous: Yes
Classification,Dog,,,,,"Straining, Diarrhea, Vomiting, Weight loss, Blindness",Dangerous: Yes
Classification,Dog,,,,,"Upset stomach, Diarrhea, Vomiting, Muscle pain, Muscle stiffness",Dangerous: Yes
Classification,Dog,,,,,"Upset stomach, Diarrhea, Coughing, Weight loss, Anaemia",Dangerous: Yes
Classification,Dog,,,,,"Allergic Reaction, Poor appetite, Coughing, Weight loss, Distended chest",Dangerous: Yes
Classification,Dog,,,,,"Fever, Anoxeria, Weight loss, Lethargy, Pain",Dangerous: Yes
Classification,Dog,,,,,"Limping, Willnot run to jump, Swelling , Week legs, Pain on leg",Dangerous: Yes
Classification,Cat,,,,,"Fever, Eye ulcer, Congestion, Depression, Pink eye",Dangerous: Yes
Classification,Cat,,,,,"Pnemonia, Loss of  appetite, Eye disharge, Lameness, Arthritis",Dangerous: Yes
Classification,Cat,,,,,"Fever, Seizures, Hydrophobia, Jaw is dropped, Shyness or aggression",Dangerous: Yes
Classification,Cat,,,,,"Bloody Urine, Diffculty breathing, Vomiting, Weight loss, Anorexia",Dangerous: Yes
Classification,Cat,,,,,"Loss of eat, Difficulty in breathing, Swelling , Lameness, Neurologic abnormalities",Dangerous: Yes
Classification,Cat,,,,,"Dark or black face, Diarrhea, Vomiting, Blood in faces, Pain",Dangerous: Yes
Classification,Cat,,,,,"Jaundice, Difficulty in breathing, Seizuers, Lethargy, Pale gums",Dangerous: Yes
Classification,Cat,,,,,"Appetite varies, Diarrhea, Vomiting, Weight loss, Pain",Dangerous: Yes
Classification,Cat,,,,,"Loss of eat, Fell unwell, Lethargy, Weight loss, Skin issue",Dangerous: Yes
Classification,Cat,,,,,"Sickness, Loss of  appetite, Vomiting, Weight loss, Raised growth or bump",Dangerous: Yes
Classification,Cat,,,,,"Nasal Bleeding, Diffulty chewing, Swelling , Weight loss, Anorexia",Dangerous: Yes
Classification,Cat,,,,,"Ulcers, Lesions , Scabs, Lumps, Bumps(black,grey or red)",Dangerous: Yes
Classification,Cat,,,,,"Gasc, Loss of  appetite, Blood in stool, Stomach growling, Black stool",Dangerous: Yes
Classification,Cat,,,,,"Shaking head, Scartching ear, Black on ear, Bad smell, Red and inflammation ear",Dangerous: Yes
Classification,Cat,,,,,"Attacks, Loss of  appetite, Coughing, Weight loss, Periodic vommiting",Dangerous: Yes
Classification,Cat,,,,,"Blood stool, Diarrhea, Coughing, Weight loss, Anemia",Dangerous: Yes
Classification,Cat,,,,,"Nasal discharge, Nosebleeds, inflamed nostrils, Sneezing, Lound breathing",Dangerous: Yes
Classification,Cat,,,,,"Polyuria, Loss of  appetite, Vomiting, Weight loss, Polydipsa",Dangerous: Yes
Classification,Cat,,,,,"Exessive Urination, Change in gait, Vomiting, Weight loss, Inability to jump",Dangerous: Yes
Classification,Cat,,,,,"Convulsion, Loss of consciousness, chewing, Twitching, Salivating",Dangerous: Yes
Classification,Cat,,,,,"Wheezing, Rapid Breathing, Coughing, Swallowing, Effort to breath",Dangerous: Yes
Classification,Cat,,,,,"Jaundice, Weekness, Lethargy, Weight loss, Anorexia",Dangerous: Yes
Classification,Cat,,,,,"Lession on cat skin, Dandruff in cat coat, Red patches, Hair loss, Skin issue",Dangerous: Yes
Classification,Cat,,,,,"Lethargy, Diarrhea, Vomiting, Discharge from eye, Anorexia",Dangerous: Yes
Classification,Cat,,,,,"Skin irritation, Scartching, Lethargy, Hair loss, Excessive grooming",Dangerous: Yes
Classification,Cat,,,,,"Floopy muscle, Speech delay, Intellectual disability, Walking problem, Eye movements",Dangerous: Yes
Classification,Cat,,,,,"Sensitivity to bright light, Disharge from affected eye, Inflammation, Clouded cornea, Rubbing eye",Dangerous: Yes
Classification,Cat,,,,,"Fever, Diarrhea, Vomiting, Cramps, Dehydration",Dangerous: Yes
Classification,Cat,,,,,"Tenderness, Erythema, Swelling , Scartch, Pain",Dangerous: Yes
Classification,Cat,,,,,"Fever, Diarrhea, Vomiting, Salivation, Decrease appetite",Dangerous: Yes
Classification,Cat,,,,,"Scaly patches of skin, Sore, Scabs, Scartch, Hair loss",Dangerous: Yes
Classification,Cat,,,,,"Fatty stool, Diarrhea, Vomiting, Weight loss, Pain",Dangerous: Yes
Classification,Cat,,,,,"Nausea, Loss of appetite, Vomiting, Firm, Distended stomach",Dangerous: Yes
Classification,Cat,,,,,"Fever, Swelling  in the bite area, Lethargy, Limp, Pain",Dangerous: Yes
Classification,Cat,,,,,"Fever, Loss of appetite, Eyeproblem, Liver disease, Nuerological",Dangerous: Yes
Classification,Cat,,,,,"Fever, Mild sneezing, Coughing, Nasal, Ocular discharge",Dangerous: Yes
Classification,Rabbit,,,,,"Most often none, Sneezing, Nasal Discharge, Dyspnea, Pain",Dangerous: Yes
Classification,Rabbit,,,,,"Fever, Diarrhea, Vomiting, Blood from mouth, Shock",Dangerous: Yes
Classification,Rabbit,,,,,"Discomfort, Diarrhea, Dry or dull hair, Grinding teeth, Pain",Dangerous: Yes
Classification,Rabbit,,,,,"Loss of appetite, Swelling, Nasal Discharge, Blindness, Lethargy",Dangerous: Yes
Classification,Rabbit,,,,,"Rhinitis, Pneumonia , abscessess, Torticollis, Septicemia",Dangerous: Yes
Classification,Rabbit,,,,,"Fever, Diarrhea, Enteritis, Weight loss, Stomach  cramps",Dangerous: Yes
Classification,Rabbit,,,,,"Immediate death, Difficulty in breathing, Blue colored lip, Bloody discharge, Neurologic abnormalities",Dangerous: Yes
Classification,Rabbit,,,,,"Fever, Pox lession on skin, Skin reashes, Nasal discharge, Mortality varies",Dangerous: Yes
Classification,Rabbit,,,,,"Red on affected area, Horny growth, Wart-like growth, Red skin, Lesions on ear",Dangerous: Yes
Classification,Rabbit,,,,,"Fever, Chills, Skin ulcer, Exhaustion, Swollen and painfull",Dangerous: Yes
Classification,Rabbit,,,,,"Watering Diarrhea, Depression, Emaciation, Ruffled Coat, Lethargy",Dangerous: Yes
Classification,Cow,,,,,"loss in weight, emaciation, loss of appetite, Weakness, diarrhoea",Dangerous: Yes
Classification,Chicken,,,,,"loss of appetite, diarrhea, swollen purple wattle, Swollen comb, Lameness",Dangerous: Yes
Classification,Chicken,,,,,"loss of appetite, diarrhea, ruffled feathers, Weight loss, Inability to absorb nutrients",Dangerous: Yes
Classification,Chicken,,,,,"egg production decreases, stunted growth, Blindness, Distinctive bumps, Facial swelling",Dangerous: Yes
Classification,Chicken,,,,,"loss of appetite, thirst, ruffled feathers, Closed eyes, Diarrhea",Dangerous: Yes
Classification,Cow,,,,,"Fever, weakened legs, los of the ability to walk, Mammary glads, Fluif filled blisters",Dangerous: Yes
Classification,Cow,,,,,"Fever, weakened legs, los of the ability to walk, Weight loss, Lameness",Dangerous: Yes
Classification,Cattle,,,,," abortion at the end of gestation, Fatigue, weak calves, Join pains, Swelling of internal organs",Dangerous: Yes
Classification,Mammal,,,,,"swollen, red-colored , hot udder, Milk getting out more watery, Milk getting out more thick",Dangerous: Yes
Classification,Cattle,,,,,"Fever, Distress, Trembling, Staggering, Convulsion",Dangerous: Yes
Classification,Cattle,,,,,"Fever, Animal become lame, Prostrat, Painfull Swalling, Lameness",Dangerous: Yes
Classification,Cattle,,,,,"Fever, Difficulty in breathing, Dribbling of saliva, Inability of Swalllon Feeding, Moist and painfull",Dangerous: Yes
Classification,Cattle,,,,,"Fluif Faeces on blood and muscle, Sudden Death, Blooody Fluid, Red Diarrhea, Faeces are streake with blood",Dangerous: Yes
Classification,Cattle,,,,,"Fever, Pneumonia , Stand with head droping, Weight loss, Abnormal behaviour",Dangerous: Yes
Classification,Cattle,,,,,"Fever, Slightly Swollen, Lession on the skin, Milky Hard, Papules appear on teats anad udder",Dangerous: Yes
Classification,Cattle,,,,,"Fever, Dull, Hind quarted soil, Animal stop feed, Decrease in milk production",Dangerous: Yes
Classification,Cattle,,,,,"Severe, Diarrhea, Blood on faces, Appetite, Milk reduce",Dangerous: Yes
Classification,Cattle,,,,,"Fever, Depression, Relunctance to move, Salivation, Nasal Discharge",Dangerous: Yes
Classification,Cattle,,,,,"Normal appetite, Diarrhea, Swelling may occur under jaw, Weight loss, Drop in milk production",Dangerous: Yes
Classification,Cattle,,,,,"Swelling on leg, Heat, Hardness, Redness, Pain",Dangerous: Yes
Classification,Cattle,,,,,"Inability to stand , Diarrhea, Bottle Jaw, Pot belly, Dry Hair coat",Dangerous: Yes
Classification,Cattle,,,,,"Excitability, Nervousness, loss of appetite, Hyper sensitivity, Weakness",Dangerous: Yes
Classification,Cattle,,,,,"Fever, Depression, Attack, Bite other animals, Pain",Dangerous: Yes
Classification,Cattle,,,,,"Fever, Difficulty in breathing, Coughing, Painfull, Eye become dull",Dangerous: Yes
Classification,Cattle,,,,,"Fever, Ulcer on gum, Red eye, Yellowish Discharge, Bloody Diarrhea",Dangerous: Yes
Classification,Cattle,,,,,"Fever, Diarrhea, Coughing, Consistency of milk, Pain",Dangerous: Yes
Classification,Cattle,,,,,"Animal gets uneasy, Difficulty in breathing, Difficult in respiration, Excessive production, Stamping And pedding of hind eye",Dangerous: Yes
Classification,Horse,,,,,"Fever, Chills, Severe colic, Weakness, Anorexia",Dangerous: Yes
Classification,Horse,,,,,"Fever, Body stiffness, Lethargy, Severe inflammation, Pain",Dangerous: Yes
Classification,Horse,,,,,"Sickness, Diarrhea, Weight loss, Nausea, Dehydration",Dangerous: Yes
Classification,Horse,,,,,"Sudden death, Trouble walking, Paralysis, Depression, Convulsion",Dangerous: Yes
Classification,Horse,,,,,"Fever, Abortion, Kidney failure, Inflammation of eye, Eye redness",Dangerous: Yes
Classification,Horse,,,,,"Small red bumps, Pneumonia , Septic Arthritis, Skin infection, Pain",Dangerous: Yes
Classification,Horse,,,,,"Fever, Ataxia, Aggressiveness, Depression, Obscure Lameness",Dangerous: Yes
Classification,Horse,,,,,"Ring shaped Lesion, Round patches, Dry skin, Size of lesions vary, Pain",Dangerous: Yes
Classification,Horse,,,,,"Fever, Diarrhea, loss of appetite, Colic, Weakness",Dangerous: Yes
Classification,Horse,,,,,"Fever, Depression, loss of appetite, Stumbling, Ataxia",Dangerous: Yes
Classification,Turtle,,,,,"Bubbles in the mouth, Wheezing, loss of appetite, Lethargy, Nasal Discharge",Dangerous: Yes
Classification,Turtle,,,,,"Changes in outer layer skin, Swelling of eye, loss of appetite, Lethargy, Respiratory infection",Dangerous: Yes
Classification,Turtle,,,,,"Red Tinge, Slim over the shell, Bad smell, Easily damage shell, Flaking of the Scutes",Dangerous: Yes
Classification,Turtle,,,,,"Passing of undigested food, Diarrhea, Vomiting, Gas or bloating, Dehydration",Dangerous: Yes
Classification,Hamster,,,,,"Smell, Diarrhea, loss of appetite, Excess sleeping, Folded Ears",Dangerous: Yes
Classification,Hamster,,,,,"Loss of activity, Rough coat, loss of appetite, Weight loss, Eventually death",Dangerous: Yes
Classification,Hamster,,,,,"Fever, Diarrhea, Vomiting, Dehydration, Pain",Dangerous: Yes
Classification,Hamster,,,,,"Bald patches, Hair loss, Crusty, Flaky, Red lesion from bald patches",Dangerous: Yes
Classification,Hamster,,,,,"Poor condition, Enlarged lymph nodes, Diarrhea, Weight loss, Pain",Dangerous: Yes
Classification,Hamster,,,,,"Fever, Chills, Coughing, Progressive weakness, Joint Pain",Dangerous: Yes
Classification,Hamster,,,,,"Heavy infection, Diarrhea, Vitamin and minerals defiency, Weight loss, Pain",Dangerous: Yes
Classification,Lion,,,,,"Fever, Diarrhea, Muscle weakness, Muscle pain, Abdonormal discomfort",Dangerous: Yes
Classification,Lion,,,,,"Fever, Chills, Headache, Nausea, Pain",Dangerous: Yes
Classification,Lion,,,,,"Thicked skin, Hair tining, Hair loss, Scabbing, Itchiness",Dangerous: Yes
Classification,Lion,,,,,"Facial edema, Loss of earing, Vomiting, Head ache, Throat and Ear pain",Dangerous: Yes
Classification,Lion,,,,,"General malaise, Hepatic failure, Vomiting, Weight loss, Abdonormal pain",Dangerous: Yes
Classification,Lion,,,,,"Upset stomach, Loss of appetite, Nause, Weight loss, Abdonormal pain",Dangerous: Yes
Classification,Lion,,,,,"Fever, Muscle Loss, Skeleten pain, Weight loss, Wasting",Dangerous: Yes
Classification,Lion,,,,,"Oedema, Swelling of face or leg, Swelling of neck, Weight loss, Pain",Dangerous: Yes
Classification,Lion,,,,,"Poor growth, Short stature, Enlargement of bones, Lameness, Weigth bearing long bones",Dangerous: Yes
Classification,Lion,,,,,"Fever, Chills, Sweat, Head ache, Fatique",Dangerous: Yes
Classification,Lion,,,,,"Fever, Loss of appetite, Weakness, Weight loss, Vomitting",Dangerous: Yes
Classification,Lion,,,,,"Dullness, Lacrimation, Coughing, Diarrhea, Seizures",Dangerous: Yes
Classification,Lion,,,,,"Vomiting, Bloody diarrhea, Lethargy, Dehydration, Anorexia",Dangerous: Yes
Classification,Lion,,,,,"Fever, Uncharacteristic hiding, Depression, Dehydration, Stopped eat",Dangerous: Yes
Classification,Lion,,,,,"Fever, Poor coat condition, Infection of the skin, Weight loss, Fatique",Dangerous: Yes
Classification,Lion,,,,,"Weakness, Stiffness, Trembling, White mark on the muscle, Loss of vitamin E",Dangerous: Yes
Classification,Fox,,,,,"Partial Paralysis, Staggering as drunk, Self Mutilation, Acting aggressive, Acting unnaturally tame",Dangerous: Yes
Classification,Fox,,,,,"Fever, Tiredness, Headache, Skin rashes, Pain",Dangerous: Yes
Classification,Fox,,,,,"Thick Crusting, Itchiness, Hair loss, Watery eye, Pain",Dangerous: Yes
Classification,Fox,,,,,"Constant pacing, Facial muscle twitching, abnormalalities, Blindness, Muscle pain",Dangerous: Yes
